"ISCED97","GEO","AGE","SEX","WSTATUS","UNIT","TIME","Value","Flag and Footnotes"
"All ISCED 1997 levels","CZ07","Total","Total","Employed persons","Number","2011","520,828",""
"All ISCED 1997 levels","CZ08","Total","Total","Employed persons","Number","2011","504,301",""
"All ISCED 1997 levels","CZZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","CZZZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","DK","Total","Total","Employed persons","Number","2011","2,659,581",""
"All ISCED 1997 levels","DK0","Total","Total","Employed persons","Number","2011","2,659,581",""
"All ISCED 1997 levels","DK01","Total","Total","Employed persons","Number","2011","834,304",""
"All ISCED 1997 levels","DK02","Total","Total","Employed persons","Number","2011","383,156",""
"All ISCED 1997 levels","DK03","Total","Total","Employed persons","Number","2011","558,016",""
"All ISCED 1997 levels","DK04","Total","Total","Employed persons","Number","2011","612,070",""
"All ISCED 1997 levels","DK05","Total","Total","Employed persons","Number","2011","272,035",""
"All ISCED 1997 levels","DKZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","DKZZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","DE","Total","Total","Employed persons","Number","2011","40,179,750",""
"All ISCED 1997 levels","DE1","Total","Total","Employed persons","Number","2011","5,446,930",""
"All ISCED 1997 levels","DE11","Total","Total","Employed persons","Number","2011","2,027,670",""
"All ISCED 1997 levels","DE12","Total","Total","Employed persons","Number","2011","1,360,740",""
"All ISCED 1997 levels","DE13","Total","Total","Employed persons","Number","2011","1,126,690",""
"All ISCED 1997 levels","DE14","Total","Total","Employed persons","Number","2011","931,840",""
"All ISCED 1997 levels","DE2","Total","Total","Employed persons","Number","2011","6,578,160",""
"All ISCED 1997 levels","DE21","Total","Total","Employed persons","Number","2011","2,352,020",""
"All ISCED 1997 levels","DE22","Total","Total","Employed persons","Number","2011","619,030",""
"All ISCED 1997 levels","DE23","Total","Total","Employed persons","Number","2011","566,660",""
"All ISCED 1997 levels","DE24","Total","Total","Employed persons","Number","2011","544,970",""
"All ISCED 1997 levels","DE25","Total","Total","Employed persons","Number","2011","873,700",""
"All ISCED 1997 levels","DE26","Total","Total","Employed persons","Number","2011","680,630",""
"All ISCED 1997 levels","DE27","Total","Total","Employed persons","Number","2011","941,150",""
"All ISCED 1997 levels","DE3","Total","Total","Employed persons","Number","2011","1,573,450",""
"All ISCED 1997 levels","DE30","Total","Total","Employed persons","Number","2011","1,573,450",""
"All ISCED 1997 levels","DE4","Total","Total","Employed persons","Number","2011","1,247,870",""
"All ISCED 1997 levels","DE40","Total","Total","Employed persons","Number","2011","1,247,870",""
"All ISCED 1997 levels","DE5","Total","Total","Employed persons","Number","2011","306,170",""
"All ISCED 1997 levels","DE50","Total","Total","Employed persons","Number","2011","306,170",""
"All ISCED 1997 levels","DE6","Total","Total","Employed persons","Number","2011","871,790",""
"All ISCED 1997 levels","DE60","Total","Total","Employed persons","Number","2011","871,790",""
"All ISCED 1997 levels","DE7","Total","Total","Employed persons","Number","2011","3,001,780",""
"All ISCED 1997 levels","DE71","Total","Total","Employed persons","Number","2011","1,904,800",""
"All ISCED 1997 levels","DE72","Total","Total","Employed persons","Number","2011","507,820",""
"All ISCED 1997 levels","DE73","Total","Total","Employed persons","Number","2011","589,160",""
"All ISCED 1997 levels","DE8","Total","Total","Employed persons","Number","2011","786,070",""
"All ISCED 1997 levels","DE80","Total","Total","Employed persons","Number","2011","786,070",""
"All ISCED 1997 levels","DE9","Total","Total","Employed persons","Number","2011","3,814,110",""
"All ISCED 1997 levels","DE91","Total","Total","Employed persons","Number","2011","743,220",""
"All ISCED 1997 levels","DE92","Total","Total","Employed persons","Number","2011","1,021,900",""
"All ISCED 1997 levels","DE93","Total","Total","Employed persons","Number","2011","828,770",""
"All ISCED 1997 levels","DE94","Total","Total","Employed persons","Number","2011","1,220,220",""
"All ISCED 1997 levels","DEA","Total","Total","Employed persons","Number","2011","8,442,780",""
"All ISCED 1997 levels","DEA1","Total","Total","Employed persons","Number","2011","2,417,150",""
"All ISCED 1997 levels","DEA2","Total","Total","Employed persons","Number","2011","2,100,690",""
"All ISCED 1997 levels","DEA3","Total","Total","Employed persons","Number","2011","1,245,910",""
"All ISCED 1997 levels","DEA4","Total","Total","Employed persons","Number","2011","991,220",""
"All ISCED 1997 levels","DEA5","Total","Total","Employed persons","Number","2011","1,687,810",""
"All ISCED 1997 levels","DEB","Total","Total","Employed persons","Number","2011","2,022,490",""
"All ISCED 1997 levels","DEB1","Total","Total","Employed persons","Number","2011","750,520",""
"All ISCED 1997 levels","DEB2","Total","Total","Employed persons","Number","2011","275,710",""
"All ISCED 1997 levels","DEB3","Total","Total","Employed persons","Number","2011","996,260",""
"All ISCED 1997 levels","DEC","Total","Total","Employed persons","Number","2011","477,460",""
"All ISCED 1997 levels","DED","Total","Total","Employed persons","Number","2011","2,012,670",""
"All ISCED 1997 levels","DED2","Total","Total","Employed persons","Number","2011","793,870",""
"All ISCED 1997 levels","DED4","Total","Total","Employed persons","Number","2011","737,140",""
"All ISCED 1997 levels","DED5","Total","Total","Employed persons","Number","2011","481,650",""
"All ISCED 1997 levels","DEE","Total","Total","Employed persons","Number","2011","1,097,480",""
"All ISCED 1997 levels","DEE0","Total","Total","Employed persons","Number","2011","1,097,480",""
"All ISCED 1997 levels","DEF","Total","Total","Employed persons","Number","2011","1,383,210",""
"All ISCED 1997 levels","DEF0","Total","Total","Employed persons","Number","2011","1,383,210",""
"All ISCED 1997 levels","DEG","Total","Total","Employed persons","Number","2011","1,117,330",""
"All ISCED 1997 levels","DEG0","Total","Total","Employed persons","Number","2011","1,117,330",""
"All ISCED 1997 levels","DEZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","DEZZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","EE","Total","Total","Employed persons","Number","2011","561,138",""
"All ISCED 1997 levels","EE0","Total","Total","Employed persons","Number","2011","561,138",""
"All ISCED 1997 levels","EE00","Total","Total","Employed persons","Number","2011","561,138",""
"All ISCED 1997 levels","EEZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","EEZZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","IE","Total","Total","Employed persons","Number","2011","1,778,400",""
"All ISCED 1997 levels","IE0","Total","Total","Employed persons","Number","2011","1,778,400",""
"All ISCED 1997 levels","IE01","Total","Total","Employed persons","Number","2011","455,245",""
"All ISCED 1997 levels","IE02","Total","Total","Employed persons","Number","2011","1,323,155",""
"All ISCED 1997 levels","IEZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","IEZZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","EL","Total","Total","Employed persons","Number","2011","3,727,633",""
"All ISCED 1997 levels","EL1","Total","Total","Employed persons","Number","2011","1,104,374",""
"All ISCED 1997 levels","EL11","Total","Total","Employed persons","Number","2011","187,306",""
"All ISCED 1997 levels","EL12","Total","Total","Employed persons","Number","2011","603,133",""
"All ISCED 1997 levels","EL13","Total","Total","Employed persons","Number","2011","83,530",""
"All ISCED 1997 levels","EL14","Total","Total","Employed persons","Number","2011","230,405",""
"All ISCED 1997 levels","EL2","Total","Total","Employed persons","Number","2011","758,479",""
"All ISCED 1997 levels","EL21","Total","Total","Employed persons","Number","2011","106,053",""
"All ISCED 1997 levels","EL22","Total","Total","Employed persons","Number","2011","73,350",""
"All ISCED 1997 levels","EL23","Total","Total","Employed persons","Number","2011","206,343",""
"All ISCED 1997 levels","EL24","Total","Total","Employed persons","Number","2011","175,972",""
"All ISCED 1997 levels","EL25","Total","Total","Employed persons","Number","2011","196,761",""
"All ISCED 1997 levels","EL3","Total","Total","Employed persons","Number","2011","1,452,203",""
"All ISCED 1997 levels","EL30","Total","Total","Employed persons","Number","2011","1,452,203",""
"All ISCED 1997 levels","EL4","Total","Total","Employed persons","Number","2011","412,577",""
"All ISCED 1997 levels","EL41","Total","Total","Employed persons","Number","2011","65,909",""
"All ISCED 1997 levels","EL42","Total","Total","Employed persons","Number","2011","120,950",""
"All ISCED 1997 levels","EL43","Total","Total","Employed persons","Number","2011","225,718",""
"All ISCED 1997 levels","ELS","Total","Total","Employed persons","Number","2011",":",""
"All ISCED 1997 levels","ELSS","Total","Total","Employed persons","Number","2011",":",""
"All ISCED 1997 levels","ELZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","ELZZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","ES","Total","Total","Employed persons","Number","2011","17,530,100",""
"All ISCED 1997 levels","ES1","Total","Total","Employed persons","Number","2011","1,648,135",""
"All ISCED 1997 levels","ES11","Total","Total","Employed persons","Number","2011","1,029,205",""
"All ISCED 1997 levels","ES12","Total","Total","Employed persons","Number","2011","391,110",""
"All ISCED 1997 levels","ES13","Total","Total","Employed persons","Number","2011","227,820",""
"All ISCED 1997 levels","ES2","Total","Total","Employed persons","Number","2011","1,831,420",""
"All ISCED 1997 levels","ES21","Total","Total","Employed persons","Number","2011","895,340",""
"All ISCED 1997 levels","ES22","Total","Total","Employed persons","Number","2011","267,255",""
"All ISCED 1997 levels","ES23","Total","Total","Employed persons","Number","2011","129,370",""
"All ISCED 1997 levels","ES24","Total","Total","Employed persons","Number","2011","539,455",""
"All ISCED 1997 levels","ES3","Total","Total","Employed persons","Number","2011","2,772,425",""
"All ISCED 1997 levels","ES30","Total","Total","Employed persons","Number","2011","2,772,425",""
"All ISCED 1997 levels","ES4","Total","Total","Employed persons","Number","2011","2,050,955",""
"All ISCED 1997 levels","ES41","Total","Total","Employed persons","Number","2011","958,100",""
"All ISCED 1997 levels","ES42","Total","Total","Employed persons","Number","2011","736,860",""
"All ISCED 1997 levels","ES43","Total","Total","Employed persons","Number","2011","355,995",""
"All ISCED 1997 levels","ES5","Total","Total","Employed persons","Number","2011","5,228,045",""
"All ISCED 1997 levels","ES51","Total","Total","Employed persons","Number","2011","3,035,850",""
"All ISCED 1997 levels","ES52","Total","Total","Employed persons","Number","2011","1,771,645",""
"All ISCED 1997 levels","ES53","Total","Total","Employed persons","Number","2011","420,545",""
"All ISCED 1997 levels","ES6","Total","Total","Employed persons","Number","2011","3,243,820",""
"All ISCED 1997 levels","ES61","Total","Total","Employed persons","Number","2011","2,676,720",""
"All ISCED 1997 levels","ES62","Total","Total","Employed persons","Number","2011","515,040",""
"All ISCED 1997 levels","ES63","Total","Total","Employed persons","Number","2011","26,665",""
"All ISCED 1997 levels","ES64","Total","Total","Employed persons","Number","2011","25,395",""
"All ISCED 1997 levels","ES7","Total","Total","Employed persons","Number","2011","755,300",""
"All ISCED 1997 levels","ES70","Total","Total","Employed persons","Number","2011","755,300",""
"All ISCED 1997 levels","ESZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","ESZZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","FR","Total","Total","Employed persons","Number","2011","26,841,261",""
"All ISCED 1997 levels","FR1","Total","Total","Employed persons","Number","2011","5,289,572",""
"All ISCED 1997 levels","FR10","Total","Total","Employed persons","Number","2011","5,289,572",""
"All ISCED 1997 levels","FR2","Total","Total","Employed persons","Number","2011","4,388,159",""
"All ISCED 1997 levels","FR21","Total","Total","Employed persons","Number","2011","543,702",""
"All ISCED 1997 levels","FR22","Total","Total","Employed persons","Number","2011","791,829",""
"All ISCED 1997 levels","FR23","Total","Total","Employed persons","Number","2011","736,087",""
"All ISCED 1997 levels","FR24","Total","Total","Employed persons","Number","2011","1,066,245",""
"All ISCED 1997 levels","FR25","Total","Total","Employed persons","Number","2011","587,562",""
"All ISCED 1997 levels","FR26","Total","Total","Employed persons","Number","2011","662,733",""
"All ISCED 1997 levels","FR3","Total","Total","Employed persons","Number","2011","1,528,920",""
"All ISCED 1997 levels","FR30","Total","Total","Employed persons","Number","2011","1,528,920",""
"All ISCED 1997 levels","FR4","Total","Total","Employed persons","Number","2011","2,317,563",""
"All ISCED 1997 levels","FR41","Total","Total","Employed persons","Number","2011","994,401",""
"All ISCED 1997 levels","FR42","Total","Total","Employed persons","Number","2011","825,951",""
"All ISCED 1997 levels","FR43","Total","Total","Employed persons","Number","2011","497,211",""
"All ISCED 1997 levels","FR5","Total","Total","Employed persons","Number","2011","3,532,766",""
"All ISCED 1997 levels","FR51","Total","Total","Employed persons","Number","2011","1,495,595",""
"All ISCED 1997 levels","FR52","Total","Total","Employed persons","Number","2011","1,318,415",""
"All ISCED 1997 levels","FR53","Total","Total","Employed persons","Number","2011","718,756",""
"All ISCED 1997 levels","FR6","Total","Total","Employed persons","Number","2011","2,922,762",""
"All ISCED 1997 levels","FR61","Total","Total","Employed persons","Number","2011","1,354,048",""
"All ISCED 1997 levels","FR62","Total","Total","Employed persons","Number","2011","1,263,777",""
"All ISCED 1997 levels","FR63","Total","Total","Employed persons","Number","2011","304,936",""
"All ISCED 1997 levels","FR7","Total","Total","Employed persons","Number","2011","3,269,411",""
"All ISCED 1997 levels","FR71","Total","Total","Employed persons","Number","2011","2,706,920",""
"All ISCED 1997 levels","FR72","Total","Total","Employed persons","Number","2011","562,491",""
"All ISCED 1997 levels","FR8","Total","Total","Employed persons","Number","2011","3,023,846",""
"All ISCED 1997 levels","FR81","Total","Total","Employed persons","Number","2011","964,859",""
"All ISCED 1997 levels","FR82","Total","Total","Employed persons","Number","2011","1,931,782",""
"All ISCED 1997 levels","FR83","Total","Total","Employed persons","Number","2011","127,206",""
"All ISCED 1997 levels","FR9","Total","Total","Employed persons","Number","2011","568,262",""
"All ISCED 1997 levels","FR91","Total","Total","Employed persons","Number","2011","127,412",""
"All ISCED 1997 levels","FR92","Total","Total","Employed persons","Number","2011","131,195",""
"All ISCED 1997 levels","FR93","Total","Total","Employed persons","Number","2011","66,482",""
"All ISCED 1997 levels","FR94","Total","Total","Employed persons","Number","2011","243,172",""
"All ISCED 1997 levels","FRZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","FRZZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","HR","Total","Total","Employed persons","Number","2011","1,503,867",""
"All ISCED 1997 levels","HR0","Total","Total","Employed persons","Number","2011","1,503,867",""
"All ISCED 1997 levels","HR03","Total","Total","Employed persons","Number","2011","1,012,195",""
"All ISCED 1997 levels","HR04","Total","Total","Employed persons","Number","2011","491,672",""
"All ISCED 1997 levels","HRZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","HRZZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","IT","Total","Total","Employed persons","Number","2011","23,017,840",""
"All ISCED 1997 levels","ITC","Total","Total","Employed persons","Number","2011","6,745,925",""
"All ISCED 1997 levels","ITC1","Total","Total","Employed persons","Number","2011","1,821,040",""
"All ISCED 1997 levels","ITC2","Total","Total","Employed persons","Number","2011","57,407",""
"All ISCED 1997 levels","ITC3","Total","Total","Employed persons","Number","2011","620,825",""
"All ISCED 1997 levels","ITC4","Total","Total","Employed persons","Number","2011","4,246,653",""
"All ISCED 1997 levels","ITH","Total","Total","Employed persons","Number","2011","5,073,810",""
"All ISCED 1997 levels","ITH1","Total","Total","Employed persons","Number","2011","248,365",""
"All ISCED 1997 levels","ITH2","Total","Total","Employed persons","Number","2011","235,026",""
"All ISCED 1997 levels","ITH3","Total","Total","Employed persons","Number","2011","2,131,688",""
"All ISCED 1997 levels","ITH4","Total","Total","Employed persons","Number","2011","517,368",""
"All ISCED 1997 levels","ITH5","Total","Total","Employed persons","Number","2011","1,941,363",""
"All ISCED 1997 levels","ITI","Total","Total","Employed persons","Number","2011","4,729,040",""
"All ISCED 1997 levels","ITI1","Total","Total","Employed persons","Number","2011","1,542,707",""
"All ISCED 1997 levels","ITI2","Total","Total","Employed persons","Number","2011","359,779",""
"All ISCED 1997 levels","ITI3","Total","Total","Employed persons","Number","2011","649,593",""
"All ISCED 1997 levels","ITI4","Total","Total","Employed persons","Number","2011","2,176,961",""
"All ISCED 1997 levels","ITF","Total","Total","Employed persons","Number","2011","4,396,231",""
"All ISCED 1997 levels","ITF1","Total","Total","Employed persons","Number","2011","501,496",""
"All ISCED 1997 levels","ITF2","Total","Total","Employed persons","Number","2011","110,905",""
"All ISCED 1997 levels","ITF3","Total","Total","Employed persons","Number","2011","1,674,280",""
"All ISCED 1997 levels","ITF4","Total","Total","Employed persons","Number","2011","1,297,342",""
"All ISCED 1997 levels","ITF5","Total","Total","Employed persons","Number","2011","197,707",""
"All ISCED 1997 levels","ITF6","Total","Total","Employed persons","Number","2011","614,501",""
"All ISCED 1997 levels","ITG","Total","Total","Employed persons","Number","2011","2,072,834",""
"All ISCED 1997 levels","ITG1","Total","Total","Employed persons","Number","2011","1,488,072",""
"All ISCED 1997 levels","ITG2","Total","Total","Employed persons","Number","2011","584,762",""
"All ISCED 1997 levels","ITZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","ITZZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","CY","Total","Total","Employed persons","Number","2011","371,316",""
"All ISCED 1997 levels","CY0","Total","Total","Employed persons","Number","2011","371,316",""
"All ISCED 1997 levels","CY00","Total","Total","Employed persons","Number","2011","371,316",""
"All ISCED 1997 levels","CYZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","CYZZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","LV","Total","Total","Employed persons","Number","2011","833,493",""
"All ISCED 1997 levels","LV0","Total","Total","Employed persons","Number","2011","833,493",""
"All ISCED 1997 levels","LV00","Total","Total","Employed persons","Number","2011","833,493",""
"All ISCED 1997 levels","LVZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","LVZZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","LT","Total","Total","Employed persons","Number","2011","1,175,447",""
"All ISCED 1997 levels","LT0","Total","Total","Employed persons","Number","2011","1,175,447",""
"All ISCED 1997 levels","LT00","Total","Total","Employed persons","Number","2011","1,175,447",""
"All ISCED 1997 levels","LTZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","LTZZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","LU","Total","Total","Employed persons","Number","2011","205,561",""
"All ISCED 1997 levels","LU0","Total","Total","Employed persons","Number","2011","205,561",""
"All ISCED 1997 levels","LU00","Total","Total","Employed persons","Number","2011","205,561",""
"All ISCED 1997 levels","LUZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","LUZZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","HU","Total","Total","Employed persons","Number","2011","3,942,723",""
"All ISCED 1997 levels","HU1","Total","Total","Employed persons","Number","2011","1,277,706",""
"All ISCED 1997 levels","HU10","Total","Total","Employed persons","Number","2011","1,277,706",""
"All ISCED 1997 levels","HU2","Total","Total","Employed persons","Number","2011","1,226,444",""
"All ISCED 1997 levels","HU21","Total","Total","Employed persons","Number","2011","455,317",""
"All ISCED 1997 levels","HU22","Total","Total","Employed persons","Number","2011","428,212",""
"All ISCED 1997 levels","HU23","Total","Total","Employed persons","Number","2011","342,915",""
"All ISCED 1997 levels","HU3","Total","Total","Employed persons","Number","2011","1,438,573",""
"All ISCED 1997 levels","HU31","Total","Total","Employed persons","Number","2011","416,220",""
"All ISCED 1997 levels","HU32","Total","Total","Employed persons","Number","2011","528,828",""
"All ISCED 1997 levels","HU33","Total","Total","Employed persons","Number","2011","493,525",""
"All ISCED 1997 levels","HUZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","HUZZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","MT","Total","Total","Employed persons","Number","2011","171,855",""
"All ISCED 1997 levels","MT0","Total","Total","Employed persons","Number","2011","171,855",""
"All ISCED 1997 levels","MT00","Total","Total","Employed persons","Number","2011","171,855",""
"All ISCED 1997 levels","MTZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","MTZZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","NL","Total","Total","Employed persons","Number","2011","8,175,971",""
"All ISCED 1997 levels","NL1","Total","Total","Employed persons","Number","2011","807,658",""
"All ISCED 1997 levels","NL11","Total","Total","Employed persons","Number","2011","272,128",""
"All ISCED 1997 levels","NL12","Total","Total","Employed persons","Number","2011","306,987",""
"All ISCED 1997 levels","NL13","Total","Total","Employed persons","Number","2011","228,543",""
"All ISCED 1997 levels","NL2","Total","Total","Employed persons","Number","2011","1,741,169",""
"All ISCED 1997 levels","NL21","Total","Total","Employed persons","Number","2011","554,422",""
"All ISCED 1997 levels","NL22","Total","Total","Employed persons","Number","2011","989,462",""
"All ISCED 1997 levels","NL23","Total","Total","Employed persons","Number","2011","197,285",""
"All ISCED 1997 levels","NL3","Total","Total","Employed persons","Number","2011","3,867,988",""
"All ISCED 1997 levels","NL31","Total","Total","Employed persons","Number","2011","630,542",""
"All ISCED 1997 levels","NL32","Total","Total","Employed persons","Number","2011","1,342,132",""
"All ISCED 1997 levels","NL33","Total","Total","Employed persons","Number","2011","1,712,992",""
"All ISCED 1997 levels","NL34","Total","Total","Employed persons","Number","2011","182,322",""
"All ISCED 1997 levels","NL4","Total","Total","Employed persons","Number","2011","1,759,156",""
"All ISCED 1997 levels","NL41","Total","Total","Employed persons","Number","2011","1,228,932",""
"All ISCED 1997 levels","NL42","Total","Total","Employed persons","Number","2011","530,224",""
"All ISCED 1997 levels","NLZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","NLZZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","AT","Total","Total","Employed persons","Number","2011","4,019,408",""
"All ISCED 1997 levels","AT1","Total","Total","Employed persons","Number","2011","1,686,757",""
"All ISCED 1997 levels","AT11","Total","Total","Employed persons","Number","2011","136,350",""
"All ISCED 1997 levels","AT12","Total","Total","Employed persons","Number","2011","782,858",""
"All ISCED 1997 levels","AT13","Total","Total","Employed persons","Number","2011","767,549",""
"All ISCED 1997 levels","AT2","Total","Total","Employed persons","Number","2011","837,872",""
"All ISCED 1997 levels","AT21","Total","Total","Employed persons","Number","2011","256,102",""
"All ISCED 1997 levels","AT22","Total","Total","Employed persons","Number","2011","581,770",""
"All ISCED 1997 levels","AT3","Total","Total","Employed persons","Number","2011","1,494,779",""
"All ISCED 1997 levels","AT31","Total","Total","Employed persons","Number","2011","706,561",""
"All ISCED 1997 levels","AT32","Total","Total","Employed persons","Number","2011","262,382",""
"All ISCED 1997 levels","AT33","Total","Total","Employed persons","Number","2011","345,181",""
"All ISCED 1997 levels","AT34","Total","Total","Employed persons","Number","2011","180,655",""
"All ISCED 1997 levels","ATZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","ATZZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","PL","Total","Total","Employed persons","Number","2011","15,443,421",""
"All ISCED 1997 levels","PL1","Total","Total","Employed persons","Number","2011","3,284,824",""
"All ISCED 1997 levels","PL11","Total","Total","Employed persons","Number","2011","1,024,619",""
"All ISCED 1997 levels","PL12","Total","Total","Employed persons","Number","2011","2,260,205",""
"All ISCED 1997 levels","PL2","Total","Total","Employed persons","Number","2011","3,211,092",""
"All ISCED 1997 levels","PL21","Total","Total","Employed persons","Number","2011","1,374,068",""
"All ISCED 1997 levels","PL22","Total","Total","Employed persons","Number","2011","1,837,024",""
"All ISCED 1997 levels","PL3","Total","Total","Employed persons","Number","2011","2,636,010",""
"All ISCED 1997 levels","PL31","Total","Total","Employed persons","Number","2011","858,987",""
"All ISCED 1997 levels","PL32","Total","Total","Employed persons","Number","2011","817,044",""
"All ISCED 1997 levels","PL33","Total","Total","Employed persons","Number","2011","486,457",""
"All ISCED 1997 levels","PL34","Total","Total","Employed persons","Number","2011","473,522",""
"All ISCED 1997 levels","PL4","Total","Total","Employed persons","Number","2011","2,519,994",""
"All ISCED 1997 levels","PL41","Total","Total","Employed persons","Number","2011","1,470,836",""
"All ISCED 1997 levels","PL42","Total","Total","Employed persons","Number","2011","646,417",""
"All ISCED 1997 levels","PL43","Total","Total","Employed persons","Number","2011","402,741",""
"All ISCED 1997 levels","PL5","Total","Total","Employed persons","Number","2011","1,537,978",""
"All ISCED 1997 levels","PL51","Total","Total","Employed persons","Number","2011","1,157,542",""
"All ISCED 1997 levels","PL52","Total","Total","Employed persons","Number","2011","380,437",""
"All ISCED 1997 levels","PL6","Total","Total","Employed persons","Number","2011","2,253,523",""
"All ISCED 1997 levels","PL61","Total","Total","Employed persons","Number","2011","811,078",""
