TIME,GEO,UNIT,Value,Flag and Footnotes
2014,CZ05,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,CZ06,Percentage,:,
2014,CZ06,Percentage of total population aged less than 60,4.3,
2014,CZ06,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,CZ06,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,CZ07,Percentage,:,
2014,CZ07,Percentage of total population aged less than 60,6.2,
2014,CZ07,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,CZ07,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,CZ08,Percentage,:,
2014,CZ08,Percentage of total population aged less than 60,12.9,
2014,CZ08,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,CZ08,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,DK,Percentage,:,
2014,DK,Percentage of total population aged less than 60,12.2,
2014,DK,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,DK,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,DK01,Percentage,:,
2014,DK01,Percentage of total population aged less than 60,12.3,
2014,DK01,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,DK01,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,DK02,Percentage,:,
2014,DK02,Percentage of total population aged less than 60,14.5,
2014,DK02,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,DK02,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,DK03,Percentage,:,
2014,DK03,Percentage of total population aged less than 60,10.4,
2014,DK03,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,DK03,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,DK04,Percentage,:,
2014,DK04,Percentage of total population aged less than 60,13.3,
2014,DK04,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,DK04,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,DK05,Percentage,:,
2014,DK05,Percentage of total population aged less than 60,9.5,
2014,DK05,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,DK05,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,DE,Percentage,:,
2014,DE,Percentage of total population aged less than 60,10,
2014,DE,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,DE,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,EE,Percentage,:,
2014,EE,Percentage of total population aged less than 60,7.6,b
2014,EE,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,EE,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,IE,Percentage,:,
2014,IE,Percentage of total population aged less than 60,21.1,
2014,IE,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,IE,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,IE04,Percentage,:,
2014,IE04,Percentage of total population aged less than 60,:,
2014,IE04,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,IE04,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,IE05,Percentage,:,
2014,IE05,Percentage of total population aged less than 60,:,
2014,IE05,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,IE05,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,IE06,Percentage,:,
2014,IE06,Percentage of total population aged less than 60,:,
2014,IE06,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,IE06,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,IE01,Percentage,:,
2014,IE01,Percentage of total population aged less than 60,:,
2014,IE01,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,IE01,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,IE02,Percentage,:,
2014,IE02,Percentage of total population aged less than 60,:,
2014,IE02,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,IE02,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,EL,Percentage,:,
2014,EL,Percentage of total population aged less than 60,17.2,
2014,EL,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,EL,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,EL5,Percentage,:,
2014,EL5,Percentage of total population aged less than 60,17.9,
2014,EL5,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,EL5,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,EL51,Percentage,:,
2014,EL51,Percentage of total population aged less than 60,:,
2014,EL51,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,EL51,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,EL52,Percentage,:,
2014,EL52,Percentage of total population aged less than 60,:,
2014,EL52,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,EL52,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,EL53,Percentage,:,
2014,EL53,Percentage of total population aged less than 60,:,
2014,EL53,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,EL53,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,EL54,Percentage,:,
2014,EL54,Percentage of total population aged less than 60,:,
2014,EL54,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,EL54,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,EL6,Percentage,:,
2014,EL6,Percentage of total population aged less than 60,17.9,
2014,EL6,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,EL6,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,EL61,Percentage,:,
2014,EL61,Percentage of total population aged less than 60,:,
2014,EL61,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,EL61,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,EL62,Percentage,:,
2014,EL62,Percentage of total population aged less than 60,:,
2014,EL62,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,EL62,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,EL63,Percentage,:,
2014,EL63,Percentage of total population aged less than 60,:,
2014,EL63,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,EL63,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,EL64,Percentage,:,
2014,EL64,Percentage of total population aged less than 60,:,
2014,EL64,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,EL64,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,EL65,Percentage,:,
2014,EL65,Percentage of total population aged less than 60,:,
2014,EL65,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,EL65,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,EL3,Percentage,:,
2014,EL3,Percentage of total population aged less than 60,17.1,
2014,EL3,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,EL3,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,EL30,Percentage,:,
2014,EL30,Percentage of total population aged less than 60,:,
2014,EL30,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,EL30,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,EL4,Percentage,:,
2014,EL4,Percentage of total population aged less than 60,13.9,
2014,EL4,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,EL4,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,EL41,Percentage,:,
2014,EL41,Percentage of total population aged less than 60,:,
2014,EL41,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,EL41,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,EL42,Percentage,:,
2014,EL42,Percentage of total population aged less than 60,:,
2014,EL42,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,EL42,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,EL43,Percentage,:,
2014,EL43,Percentage of total population aged less than 60,:,
2014,EL43,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,EL43,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES,Percentage,:,
2014,ES,Percentage of total population aged less than 60,17.1,
2014,ES,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES1,Percentage,:,
2014,ES1,Percentage of total population aged less than 60,16.1,
2014,ES1,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES1,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES11,Percentage,:,
2014,ES11,Percentage of total population aged less than 60,14.9,
2014,ES11,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES11,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES12,Percentage,:,
2014,ES12,Percentage of total population aged less than 60,18,
2014,ES12,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES12,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES13,Percentage,:,
2014,ES13,Percentage of total population aged less than 60,18.4,
2014,ES13,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES13,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES2,Percentage,:,
2014,ES2,Percentage of total population aged less than 60,10.9,
2014,ES2,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES2,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES21,Percentage,:,
2014,ES21,Percentage of total population aged less than 60,12.2,
2014,ES21,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES21,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES22,Percentage,:,
2014,ES22,Percentage of total population aged less than 60,7.5,
2014,ES22,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES22,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES23,Percentage,:,
2014,ES23,Percentage of total population aged less than 60,10.7,
2014,ES23,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES23,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES24,Percentage,:,
2014,ES24,Percentage of total population aged less than 60,10.5,
2014,ES24,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES24,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES3,Percentage,:,
2014,ES3,Percentage of total population aged less than 60,9.6,
2014,ES3,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES3,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES30,Percentage,:,
2014,ES30,Percentage of total population aged less than 60,9.6,
2014,ES30,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES30,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES4,Percentage,:,
2014,ES4,Percentage of total population aged less than 60,17.5,
2014,ES4,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES4,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES41,Percentage,:,
2014,ES41,Percentage of total population aged less than 60,17.7,
2014,ES41,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES41,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES42,Percentage,:,
2014,ES42,Percentage of total population aged less than 60,14.9,
2014,ES42,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES42,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES43,Percentage,:,
2014,ES43,Percentage of total population aged less than 60,22.2,
2014,ES43,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES43,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES5,Percentage,:,
2014,ES5,Percentage of total population aged less than 60,13.8,
2014,ES5,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES5,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES51,Percentage,:,
2014,ES51,Percentage of total population aged less than 60,12,
2014,ES51,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES51,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES52,Percentage,:,
2014,ES52,Percentage of total population aged less than 60,18.1,
2014,ES52,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES52,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES53,Percentage,:,
2014,ES53,Percentage of total population aged less than 60,7.5,
2014,ES53,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES53,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES6,Percentage,:,
2014,ES6,Percentage of total population aged less than 60,26.6,
2014,ES6,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES6,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES61,Percentage,:,
2014,ES61,Percentage of total population aged less than 60,27.4,
2014,ES61,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES61,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES62,Percentage,:,
2014,ES62,Percentage of total population aged less than 60,22.2,
2014,ES62,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES62,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES63,Percentage,:,
2014,ES63,Percentage of total population aged less than 60,26.2,
2014,ES63,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES63,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES64,Percentage,:,
2014,ES64,Percentage of total population aged less than 60,18,
2014,ES64,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES64,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES7,Percentage,:,
2014,ES7,Percentage of total population aged less than 60,28.1,
2014,ES7,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES7,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ES70,Percentage,:,
2014,ES70,Percentage of total population aged less than 60,28.1,
2014,ES70,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ES70,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,FR,Percentage,:,
2014,FR,Percentage of total population aged less than 60,9.6,
2014,FR,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,FR,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,HR,Percentage,:,
2014,HR,Percentage of total population aged less than 60,14.7,
2014,HR,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,HR,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,HR03,Percentage,:,
2014,HR03,Percentage of total population aged less than 60,15,
2014,HR03,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,HR03,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,HR04,Percentage,:,
2014,HR04,Percentage of total population aged less than 60,14.5,
2014,HR04,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,HR04,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,IT,Percentage,:,
2014,IT,Percentage of total population aged less than 60,12.1,
2014,IT,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,IT,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ITC,Percentage,:,
2014,ITC,Percentage of total population aged less than 60,7.4,
2014,ITC,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ITC,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ITC1,Percentage,:,
2014,ITC1,Percentage of total population aged less than 60,7.2,
2014,ITC1,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ITC1,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ITC2,Percentage,:,
2014,ITC2,Percentage of total population aged less than 60,6.7,
2014,ITC2,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ITC2,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ITC3,Percentage,:,
2014,ITC3,Percentage of total population aged less than 60,10.1,
2014,ITC3,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ITC3,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ITC4,Percentage,:,
2014,ITC4,Percentage of total population aged less than 60,7.1,
2014,ITC4,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ITC4,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ITH,Percentage,:,
2014,ITH,Percentage of total population aged less than 60,5.3,
2014,ITH,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ITH,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ITH1,Percentage,:,
2014,ITH1,Percentage of total population aged less than 60,2.4,
2014,ITH1,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ITH1,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ITH2,Percentage,:,
2014,ITH2,Percentage of total population aged less than 60,6.8,
2014,ITH2,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ITH2,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ITH3,Percentage,:,
2014,ITH3,Percentage of total population aged less than 60,5.5,
2014,ITH3,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ITH3,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ITH4,Percentage,:,
2014,ITH4,Percentage of total population aged less than 60,6,
2014,ITH4,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ITH4,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ITH5,Percentage,:,
2014,ITH5,Percentage of total population aged less than 60,5,
2014,ITH5,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ITH5,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ITI,Percentage,:,
2014,ITI,Percentage of total population aged less than 60,9,
2014,ITI,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ITI,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ITI1,Percentage,:,
2014,ITI1,Percentage of total population aged less than 60,8.6,
2014,ITI1,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ITI1,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ITI2,Percentage,:,
2014,ITI2,Percentage of total population aged less than 60,10.7,
2014,ITI2,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ITI2,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ITI3,Percentage,:,
2014,ITI3,Percentage of total population aged less than 60,8.4,
2014,ITI3,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ITI3,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ITI4,Percentage,:,
2014,ITI4,Percentage of total population aged less than 60,9.2,
2014,ITI4,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ITI4,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ITF,Percentage,:,
2014,ITF,Percentage of total population aged less than 60,19.8,
2014,ITF,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ITF,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ITF1,Percentage,:,
2014,ITF1,Percentage of total population aged less than 60,11.6,
2014,ITF1,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ITF1,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ITF2,Percentage,:,
2014,ITF2,Percentage of total population aged less than 60,15.6,
2014,ITF2,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ITF2,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ITF3,Percentage,:,
2014,ITF3,Percentage of total population aged less than 60,22.8,
2014,ITF3,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ITF3,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ITF4,Percentage,:,
2014,ITF4,Percentage of total population aged less than 60,16.9,
2014,ITF4,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ITF4,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ITF5,Percentage,:,
2014,ITF5,Percentage of total population aged less than 60,19.6,
2014,ITF5,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ITF5,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ITF6,Percentage,:,
2014,ITF6,Percentage of total population aged less than 60,22.1,
2014,ITF6,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ITF6,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ITG,Percentage,:,
2014,ITG,Percentage of total population aged less than 60,23.6,
2014,ITG,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ITG,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ITG1,Percentage,:,
2014,ITG1,Percentage of total population aged less than 60,25,
2014,ITG1,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ITG1,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,ITG2,Percentage,:,
2014,ITG2,Percentage of total population aged less than 60,19.4,
2014,ITG2,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,ITG2,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,CY,Percentage,:,
2014,CY,Percentage of total population aged less than 60,9.7,
2014,CY,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,CY,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,LV,Percentage,:,
2014,LV,Percentage of total population aged less than 60,9.6,
2014,LV,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,LV,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,LT,Percentage,:,
2014,LT,Percentage of total population aged less than 60,8.8,
2014,LT,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,LT,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,LU,Percentage,:,
2014,LU,Percentage of total population aged less than 60,6.1,
2014,LU,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,LU,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,HU,Percentage,:,
2014,HU,Percentage of total population aged less than 60,12.8,
2014,HU,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,HU,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,HU1,Percentage,:,
2014,HU1,Percentage of total population aged less than 60,13,
2014,HU1,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,HU1,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,HU11,Percentage,:,
2014,HU11,Percentage of total population aged less than 60,:,
2014,HU11,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,HU11,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,HU12,Percentage,:,
2014,HU12,Percentage of total population aged less than 60,:,
2014,HU12,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,HU12,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,HU10,Percentage,:,
2014,HU10,Percentage of total population aged less than 60,13,
2014,HU10,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,HU10,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,HU2,Percentage,:,
2014,HU2,Percentage of total population aged less than 60,11.4,
2014,HU2,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,HU2,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,HU21,Percentage,:,
2014,HU21,Percentage of total population aged less than 60,7.6,
2014,HU21,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,HU21,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,HU22,Percentage,:,
2014,HU22,Percentage of total population aged less than 60,9.8,
2014,HU22,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,HU22,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,HU23,Percentage,:,
2014,HU23,Percentage of total population aged less than 60,17.7,
2014,HU23,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,HU23,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,HU3,Percentage,:,
2014,HU3,Percentage of total population aged less than 60,13.8,
2014,HU3,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,HU3,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,HU31,Percentage,:,
2014,HU31,Percentage of total population aged less than 60,17.5,
2014,HU31,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,HU31,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,HU32,Percentage,:,
2014,HU32,Percentage of total population aged less than 60,11.8,
2014,HU32,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,HU32,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,HU33,Percentage,:,
2014,HU33,Percentage of total population aged less than 60,12.7,
2014,HU33,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,HU33,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,MT,Percentage,:,
2014,MT,Percentage of total population aged less than 60,9.9,
2014,MT,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,MT,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,NL,Percentage,:,
2014,NL,Percentage of total population aged less than 60,10.2,
2014,NL,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,NL,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,NL1,Percentage,:,
